FragmentFlowID,FragmentID,Name,FragmentStageID,ReferenceFlowPropertyUUID,NodeTypeID,FlowUUID,DirectionID,Quantity,ParentFragmentFlowID
"39","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","6133d060-4e09-4985-85a0-b87333f2e8b4","1","2.942680e-04","37"
"40","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","2.254980e-02","37"
"41","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","4d78344e-78af-4e18-a146-e88cc0b2934b","1","4.276148e-04","37"
"42","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","2.158427e-03","37"
"43","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","3.278912e-01","37"
"44","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","b9283404-c497-4673-9aa7-be1f66823bb2","1","9.084534e-04","37"
"45","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","4.614052e-02","37"
"46","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","2a30cb5a-3ed0-4832-b610-bb822586b643","1","1.441495e+01","37"
"47","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.462940e-05","37"
"48","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.390549e-06","37"
"49","1","Electricity US LCI: Natural Gas","","93a60a56-a3c8-11da-a746-0800200c9a66","1","e29a31ee-3cf3-4e42-a50b-b27f8b1f9da6","2","3.468985e-01","1"
"50","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","1.189194e-09","49"
"51","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","6133d060-4e09-4985-85a0-b87333f2e8b4","1","2.712391e-05","49"
"52","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","2.659009e-06","49"
"53","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","4d78344e-78af-4e18-a146-e88cc0b2934b","1","2.069275e-05","49"
"54","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","1.989512e-04","49"
"55","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","1.853958e-03","49"
"56","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","b9283404-c497-4673-9aa7-be1f66823bb2","1","8.373592e-05","49"
"57","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","4.252964e-03","49"
"58","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","2a30cb5a-3ed0-4832-b610-bb822586b643","1","1.043179e+02","49"
"59","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.348453e-06","49"
"60","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.281727e-07","49"
"61","1","Electricity US LCI: Nuclear","","93a60a56-a3c8-11da-a746-0800200c9a66","1","c8192f40-a849-4e26-bb8d-d64030b1fc60","2","1.023266e-01","1"
"62","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","5.418573e-08","61"
"63","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","6133d060-4e09-4985-85a0-b87333f2e8b4","1","1.692725e-05","61"
"64","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","0","61"
"65","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","4d78344e-78af-4e18-a146-e88cc0b2934b","1","1.111957e-06","61"
"66","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","1.130466e-04","61"
"67","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","6.606255e-05","61"
"68","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.568515e-05","61"
