FragmentNodeID,FragmentID,Name,FragmentStageID,ReferencePropertyUUID,NodeTypeID,Origin,FlowUUID,DirectionID,Quantity,Terminus
"43","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","37","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","3.278912e-01",""
"44","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","37","b9283404-c497-4673-9aa7-be1f66823bb2","1","9.084534e-04",""
"45","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","37","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","4.614052e-02",""
"46","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","37","2a30cb5a-3ed0-4832-b610-bb822586b643","1","1.441495e+01",""
"47","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","37","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.462940e-05",""
"48","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","37","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.390549e-06",""
"49","1","Electricity US LCI: Natural Gas","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","e29a31ee-3cf3-4e42-a50b-b27f8b1f9da6","2","3.468985e-01","49"
"50","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","49","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","1.189194e-09",""
"51","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","49","6133d060-4e09-4985-85a0-b87333f2e8b4","1","2.712391e-05",""
"52","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","49","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","2.659009e-06",""
"53","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","49","4d78344e-78af-4e18-a146-e88cc0b2934b","1","2.069275e-05",""
