FlowID,Name,CASNumber,FlowTypeID,ReferenceFlowPropertyID
281,"tin",007440-31-5    ,2,23
282,"chromium",007440-47-3    ,2,23
283,"chromium",007440-47-3    ,2,23
284,"triethylene glycol",000112-27-6    ,2,23
285,"triethylene glycol",000112-27-6    ,2,23
286,"trimethylamine",000075-50-3    ,2,23
287,"manganese",007439-96-5    ,2,23
288,"manganese",007439-96-5    ,2,23
289,"manganese",007439-96-5    ,2,23
290,"manganese",007439-96-5    ,2,23
291,"manganese",007439-96-5    ,2,23
292,"carbon dioxide (biogenic)",000124-38-9    ,2,23
293,"uranium-235",015117-96-1    ,2,27
294,"uranium-235",015117-96-1    ,2,27
295,"uranium-238",007440-61-1    ,2,27
296,"beta-butyrolactone",003068-88-0    ,2,23
297,"beta-butyrolactone",003068-88-0    ,2,23
298,"2-chloro-1-phenylethanone",000532-27-4    ,2,23
299,"krypton-88",014995-61-0    ,2,27
300,"krypton-89",016316-03-3    ,2,27
301,"carbon-14",014762-75-5    ,2,27
302,"carbonate",003812-32-6    ,2,23
303,"dimethylamine",000124-40-3    ,2,23
304,"chromium",007440-47-3    ,2,23
305,"chromium",007440-47-3    ,2,23
306,"chromium",007440-47-3    ,2,23
307,"chromium",007440-47-3    ,2,23
308,"chromium III",016065-83-1    ,2,23
309,"chromium III",016065-83-1    ,2,23
310,"pentane",000109-66-0    ,2,23
311,"palladium",007440-05-3    ,2,23
312,"boron",007440-42-8    ,2,23
313,"boron",007440-42-8    ,2,23
314,"boron",007440-42-8    ,2,23
315,"boron",007440-42-8    ,2,23
316,"bromate",015541-45-4    ,2,23
317,"methyl ethyl ketone",000078-93-3    ,2,23
318,"cobalt",007440-48-4    ,2,23
319,"cumene",000098-82-8    ,2,23
320,"ammonia",007664-41-7    ,2,23
321,"ethyl benzene",000100-41-4    ,2,23
322,"hexachlorobenzene",000118-74-1    ,2,23
323,"hexachlorobenzene",000118-74-1    ,2,23
324,"non-methane volatile organic compounds",               ,2,23
325,"calcium",007440-70-2    ,2,23
326,"pentan-1-ol",000071-41-0    ,2,23
327,"chlorosulphuric acid",007790-94-5    ,2,23
328,"Docosane",000629-97-0    ,2,23
329,"Ethylene Glycol displaced",               ,1,41
330,"Water (sea water from technosphere, waste water)",               ,2,23
331,"Water,turbine use, unspecified natural origin",007732-18-5    ,2,30
332,"Transformation, from tropical rain forest",               ,2,28
333,"RER: natural gas, high pressure, at consumer",               ,1,24
334,"to traffic area, rail/road embankment",               ,2,28
335,"2-methyl-2-butene",000513-35-9    ,2,23
336,"hexadecane",000544-76-3    ,2,23
337,"quartz sand",014808-60-7    ,2,23
338,"raw pumice",               ,2,23
339,"Wood, soft, standing",               ,2,30
340,"Avoided No 6 Residual Oil",               ,1,36
341,"Radioactive isotopes (unspecific)",               ,2,27
342,"Land Transformation",               ,2,28
343,"Transformation, to industrial area, vegetation",               ,2,28
344,"Copper (+II)",015158-11-9    ,2,23
345,"Used Oil to Informal Management",               ,1,12
346,"Lost or Unknown",               ,1,12
347,"pentan-1-ol",000071-41-0    ,2,23
348,"Occup. as Forest land",               ,2,29
349,"Used Oil to Gray Market ",               ,1,23
350,"formamide",000075-12-7    ,2,23
351,"Waste to Disposal",               ,1,12
352,"arsenic V",061805-96-7    ,2,23
353,"MRO: electricity, natural gas, at power plant",               ,1,24
354,"Copper (+II)",015158-11-9    ,2,23
355,"UO_223 Collected",               ,1,23
356,"Nickel ion (+III)",022541-64-6    ,2,23
357,"rhenium",007440-15-5    ,2,23
358,"rhodium",007440-16-6    ,2,23
359,"2-hexanone",000591-78-6    ,2,23
360,"river water",007732-18-5    ,2,23
361,"ruthenium",007440-18-8    ,2,23
362,"sand",               ,2,23
363,"sea water",007732-18-5    ,2,23
364,"silicon",007440-21-3    ,2,23
365,"silver",007440-22-4    ,2,23
366,"slate",               ,2,23
367,"sodium chloride",007647-14-5    ,2,23
368,"sodium nitrate",007631-99-4    ,2,23
369,"sodium sulfate",007757-82-6    ,2,23
370,"soil",               ,2,23
371,"No. 2 Distillate",               ,1,23
372,"Energy, potential (in hydropower reservoir), converted",               ,2,24
373,"UO Local Collection",               ,1,23
374,"RFO to Combustion",               ,1,12
375,"formamide",000075-12-7    ,2,23
376,"Suspended solids, unspecified",               ,2,23
377,"Erosion Resistance",               ,2,4
378,"to shrub land",               ,2,28
379,"Benzal chloride",000098-87-3    ,2,23
380,"Avoided Electricity",               ,1,18
381,"Electricity WECC",               ,1,24
382,"US: Transport, ocean freighter, average fuel mix",               ,1,15
383,"US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment",               ,1,23
384,"traffic area, rail/road embankment",               ,2,29
385,"stone",               ,2,23
386,"sulfur",007704-34-9    ,2,23
387,"talc",014807-96-6    ,2,23
388,"tantalum",007440-25-7    ,2,23
389,"tellurium",013494-80-9    ,2,23
390,"Asphalt Product",               ,1,12
391,"Lead-210/kg",014255-04-0    ,2,23
392,"CH: disposal, hazardous waste, 25% water, to hazardous waste incineration",               ,1,23
393,"Lead (+II)",014280-50-3    ,2,23
394,"UO_Transfer to MDO",               ,1,23
395,"Water (river water from technosphere, waste water)",               ,2,23
396,"nitrogen trifluoride",007783-54-2    ,2,23
397,"Waste (deposited)",               ,2,23
398,"arsenic V",061805-96-7    ,2,23
399,"from forest",               ,2,28
400,"High radioactive waste",               ,2,23
401,"UO_Marine Diesel Oil",               ,1,23
402,"Occupation, industrial area, benthos",               ,2,29
403,"Hydrochloric acid",007664-39-3    ,2,23
404,"magnesium",007439-95-4    ,2,23
405,"magnesium",007439-95-4    ,2,23
406,"sodium",007440-23-5    ,2,23
407,"tungsten",007440-33-7    ,2,23
408,"sulfur",007704-34-9    ,2,23
409,"oxygen",007782-44-7    ,2,23
410,"tar",008007-45-2    ,2,23
411,"acid (as H+)",012408-02-5    ,2,23
412,"acid (as H+)",012408-02-5    ,2,23
413,"acid (as H+)",012408-02-5    ,2,23
414,"tin",007440-31-5    ,2,23
415,"titanium",007440-32-6    ,2,23
416,"Water (rain water)",               ,2,23
417,"US: Dummy_Transport, pipeline, unspecified",               ,1,15
418,"Avoided Natural Gas",               ,1,36
419,"from industrial area",               ,2,28
420,"Avoided Gasoline",               ,1,36
421,"Secondary fuel",               ,1,24
422,"Volume occupied, final repository for radioactive waste",               ,2,30
423,"UO_re-refined base oil",               ,1,23
424,"construction site",               ,2,29
425,"to industrial area",               ,2,28
426,"Pit Methane (in MJ)",000074-82-8    ,2,24
427,"UO_Hydrotx Catalyst",               ,1,23
428,"Transformation, to forest, intensive, clear-cutting",               ,2,28
429,"lanthanum-140",013981-28-7    ,2,27
430,"antimony-125",014234-35-6    ,2,27
431,"antimony-125",014234-35-6    ,2,27
432,"phosphate",014265-44-2    ,2,23
433,"phosphate",014265-44-2    ,2,23
434,"nitrate",014797-55-8    ,2,23
435,"US: Liquefied petroleum gas, combusted in industrial boiler",               ,1,30
436,"acetyl chloride",000075-36-5    ,2,23
437,"Bitumen Displaced",               ,1,41
438,"arsenic V",061805-96-7    ,2,23
439,"Tantalum",007440-25-7    ,2,23
440,"Groundwater Replenishment",               ,2,11
441,"Ammonium chloride",012125-02-9    ,2,23
