ClassificationID,UUID,CategoryID
"145","fe0acd60-3ddc-11dd-aaa4-0050c2490048","261"
"146","fe0acd60-3ddc-11dd-aaa4-0050c2490048","280"
"147","fe0acd60-3ddc-11dd-aaa4-0050c2490048","286"
"148","08a91e70-3ddc-11dd-91d5-0050c2490048","261"
"149","08a91e70-3ddc-11dd-91d5-0050c2490048","262"
"150","08a91e70-3ddc-11dd-91d5-0050c2490048","264"
"151","08a91e70-3ddc-11dd-97dc-0050c2490048","261"
"152","08a91e70-3ddc-11dd-97dc-0050c2490048","262"
"153","08a91e70-3ddc-11dd-97dc-0050c2490048","263"
"154","08a91e70-3ddc-11dd-97f9-0050c2490048","261"
"155","08a91e70-3ddc-11dd-97f9-0050c2490048","262"
"156","08a91e70-3ddc-11dd-97f9-0050c2490048","263"
"157","4d9a8790-3ddd-11dd-978b-0050c2490048","261"
"158","4d9a8790-3ddd-11dd-978b-0050c2490048","262"
"159","4d9a8790-3ddd-11dd-978b-0050c2490048","263"
"160","08a91e70-3ddc-11dd-97dd-0050c2490048","261"
"161","08a91e70-3ddc-11dd-97dd-0050c2490048","262"
"162","08a91e70-3ddc-11dd-97dd-0050c2490048","263"
"163","08a91e70-3ddc-11dd-9634-0050c2490048","261"
"164","08a91e70-3ddc-11dd-9634-0050c2490048","262"
"165","08a91e70-3ddc-11dd-9634-0050c2490048","263"
"166","e376903c-4e5c-484c-9752-3ceda5c29271","332"
"167","e376903c-4e5c-484c-9752-3ceda5c29271","355"
"168","e376903c-4e5c-484c-9752-3ceda5c29271","371"
"169","7f93ddeb-e682-41d6-8a1c-b08da5cf7e64","332"
"170","7f93ddeb-e682-41d6-8a1c-b08da5cf7e64","355"
"171","7f93ddeb-e682-41d6-8a1c-b08da5cf7e64","402"
"172","fe0acd60-3ddc-11dd-a6f9-0050c2490048","261"
"173","fe0acd60-3ddc-11dd-a6f9-0050c2490048","262"
"174","fe0acd60-3ddc-11dd-a6f9-0050c2490048","265"
"175","08a91e70-3ddc-11dd-923a-0050c2490048","261"
"176","08a91e70-3ddc-11dd-923a-0050c2490048","262"
"177","08a91e70-3ddc-11dd-923a-0050c2490048","263"
"178","08a91e70-3ddc-11dd-97ec-0050c2490048","261"
"179","08a91e70-3ddc-11dd-97ec-0050c2490048","262"
"180","08a91e70-3ddc-11dd-97ec-0050c2490048","263"
"181","08a91e70-3ddc-11dd-944a-0050c2490048","261"
"182","08a91e70-3ddc-11dd-944a-0050c2490048","262"
"183","08a91e70-3ddc-11dd-944a-0050c2490048","263"
"184","08a91e70-3ddc-11dd-923c-0050c2490048","261"
"185","08a91e70-3ddc-11dd-923c-0050c2490048","280"
"186","08a91e70-3ddc-11dd-923c-0050c2490048","286"
"187","08a91e70-3ddc-11dd-9f78-0050c2490048","261"
"188","08a91e70-3ddc-11dd-9f78-0050c2490048","262"
"189","08a91e70-3ddc-11dd-9f78-0050c2490048","264"
"190","08a91e70-3ddc-11dd-9276-0050c2490048","261"
"191","08a91e70-3ddc-11dd-9276-0050c2490048","262"
"192","08a91e70-3ddc-11dd-9276-0050c2490048","263"
"193","fe0acd60-3ddc-11dd-a4f3-0050c2490048","261"
"194","fe0acd60-3ddc-11dd-a4f3-0050c2490048","262"
"195","fe0acd60-3ddc-11dd-a4f3-0050c2490048","264"
"196","08a91e70-3ddc-11dd-97f2-0050c2490048","261"
"197","08a91e70-3ddc-11dd-97f2-0050c2490048","262"
"198","08a91e70-3ddc-11dd-97f2-0050c2490048","263"
"199","fe0acd60-3ddc-11dd-ae5c-0050c2490048","261"
"200","fe0acd60-3ddc-11dd-ae5c-0050c2490048","262"
"201","fe0acd60-3ddc-11dd-ae5c-0050c2490048","264"
"202","fe0acd60-3ddc-11dd-a6f8-0050c2490048","261"
"203","fe0acd60-3ddc-11dd-a6f8-0050c2490048","262"
"204","fe0acd60-3ddc-11dd-a6f8-0050c2490048","265"
"205","08a91e70-3ddc-11dd-96e4-0050c2490048","261"
"206","08a91e70-3ddc-11dd-96e4-0050c2490048","280"
"207","08a91e70-3ddc-11dd-96e4-0050c2490048","284"
"208","fe0acd60-3ddc-11dd-a826-0050c2490048","261"
"209","fe0acd60-3ddc-11dd-a826-0050c2490048","262"
"210","fe0acd60-3ddc-11dd-a826-0050c2490048","263"
"211","581fa82e-f3e9-4414-9d5a-1b8d57417f7a","332"
"212","581fa82e-f3e9-4414-9d5a-1b8d57417f7a","355"
"213","581fa82e-f3e9-4414-9d5a-1b8d57417f7a","402"
"214","19ad75cd-9494-46eb-86de-306524e4e5cd","332"
"215","19ad75cd-9494-46eb-86de-306524e4e5cd","355"
"216","19ad75cd-9494-46eb-86de-306524e4e5cd","371"
"217","4d9a8790-3ddd-11dd-9125-0050c2490048","261"
"218","4d9a8790-3ddd-11dd-9125-0050c2490048","262"
"219","4d9a8790-3ddd-11dd-9125-0050c2490048","263"
"220","08a91e70-3ddc-11dd-97f7-0050c2490048","261"
"221","08a91e70-3ddc-11dd-97f7-0050c2490048","262"
"222","08a91e70-3ddc-11dd-97f7-0050c2490048","263"
"223","fe0acd60-3ddc-11dd-a2bf-0050c2490048","261"
"224","fe0acd60-3ddc-11dd-a2bf-0050c2490048","262"
"225","fe0acd60-3ddc-11dd-a2bf-0050c2490048","264"
"226","08a91e70-3ddc-11dd-9449-0050c2490048","261"
"227","08a91e70-3ddc-11dd-9449-0050c2490048","262"
"228","08a91e70-3ddc-11dd-9449-0050c2490048","263"
"229","fe0acd60-3ddc-11dd-ae59-0050c2490048","261"
"230","fe0acd60-3ddc-11dd-ae59-0050c2490048","271"
"231","fe0acd60-3ddc-11dd-ae59-0050c2490048","277"
"232","3583be27-4c3f-4d71-9009-8215f5437f2b","332"
"233","3583be27-4c3f-4d71-9009-8215f5437f2b","355"
"234","3583be27-4c3f-4d71-9009-8215f5437f2b","371"
"235","938c3c9e-231e-4430-9348-10ceb157bb26","332"
"236","938c3c9e-231e-4430-9348-10ceb157bb26","355"
"237","938c3c9e-231e-4430-9348-10ceb157bb26","402"
"238","08a91e70-3ddc-11dd-97f8-0050c2490048","261"
"239","08a91e70-3ddc-11dd-97f8-0050c2490048","262"
"240","08a91e70-3ddc-11dd-97f8-0050c2490048","263"
"241","fe0acd60-3ddc-11dd-a6fc-0050c2490048","261"
"242","fe0acd60-3ddc-11dd-a6fc-0050c2490048","262"
"243","fe0acd60-3ddc-11dd-a6fc-0050c2490048","265"
"244","fe0acd60-3ddc-11dd-a6ff-0050c2490048","261"
"245","fe0acd60-3ddc-11dd-a6ff-0050c2490048","262"
"246","fe0acd60-3ddc-11dd-a6ff-0050c2490048","263"
"247","fe0acd60-3ddc-11dd-a7fb-0050c2490048","261"
"248","fe0acd60-3ddc-11dd-a7fb-0050c2490048","262"
"249","fe0acd60-3ddc-11dd-a7fb-0050c2490048","264"
"250","08a91e70-3ddc-11dd-959a-0050c2490048","261"
"251","08a91e70-3ddc-11dd-959a-0050c2490048","262"
"252","08a91e70-3ddc-11dd-959a-0050c2490048","264"
"253","fe0acd60-3ddc-11dd-aab8-0050c2490048","261"
"254","fe0acd60-3ddc-11dd-aab8-0050c2490048","262"
"255","fe0acd60-3ddc-11dd-aab8-0050c2490048","263"
"256","fe0acd60-3ddc-11dd-ae5a-0050c2490048","261"
"257","fe0acd60-3ddc-11dd-ae5a-0050c2490048","271"
"258","fe0acd60-3ddc-11dd-ae5a-0050c2490048","277"
"259","65d898d1-75b4-4f51-bf25-e8e2359cb2e0","332"
"260","65d898d1-75b4-4f51-bf25-e8e2359cb2e0","355"
"261","65d898d1-75b4-4f51-bf25-e8e2359cb2e0","402"
"262","0f54c0c8-d8a2-40d3-a797-9ab54598b0a3","332"
"263","0f54c0c8-d8a2-40d3-a797-9ab54598b0a3","355"
"264","0f54c0c8-d8a2-40d3-a797-9ab54598b0a3","371"
"265","fe0acd60-3ddc-11dd-ae5d-0050c2490048","261"
"266","fe0acd60-3ddc-11dd-ae5d-0050c2490048","262"
"267","fe0acd60-3ddc-11dd-ae5d-0050c2490048","264"
"268","fe0acd60-3ddc-11dd-aabe-0050c2490048","261"
"269","fe0acd60-3ddc-11dd-aabe-0050c2490048","262"
"270","fe0acd60-3ddc-11dd-aabe-0050c2490048","263"
"271","fe0acd60-3ddc-11dd-aac3-0050c2490048","261"
"272","fe0acd60-3ddc-11dd-aac3-0050c2490048","262"
"273","fe0acd60-3ddc-11dd-aac3-0050c2490048","264"
"274","fe0acd60-3ddc-11dd-acd8-0050c2490048","261"
"275","fe0acd60-3ddc-11dd-acd8-0050c2490048","262"
"276","fe0acd60-3ddc-11dd-acd8-0050c2490048","263"
"277","fe0acd60-3ddc-11dd-9e5c-0050c2490048","261"
"278","fe0acd60-3ddc-11dd-9e5c-0050c2490048","262"
"279","fe0acd60-3ddc-11dd-9e5c-0050c2490048","264"
"280","4d78dbb0-4f87-4798-823b-6e9077d781f1","332"
"281","4d78dbb0-4f87-4798-823b-6e9077d781f1","355"
"282","4d78dbb0-4f87-4798-823b-6e9077d781f1","371"
"283","438de9dc-1eb4-4b16-99f5-f55005b781c6","332"
"284","438de9dc-1eb4-4b16-99f5-f55005b781c6","355"
"285","438de9dc-1eb4-4b16-99f5-f55005b781c6","402"
"286","fe0acd60-3ddc-11dd-a8cd-0050c2490048","261"
"287","fe0acd60-3ddc-11dd-a8cd-0050c2490048","262"
"288","fe0acd60-3ddc-11dd-a8cd-0050c2490048","264"
"289","fe0acd60-3ddc-11dd-a2be-0050c2490048","261"
"290","fe0acd60-3ddc-11dd-a2be-0050c2490048","262"
"291","fe0acd60-3ddc-11dd-a2be-0050c2490048","264"
"292","08a91e70-3ddc-11dd-93f0-0050c2490048","261"
"293","08a91e70-3ddc-11dd-93f0-0050c2490048","262"
"294","08a91e70-3ddc-11dd-93f0-0050c2490048","263"
"295","fe0acd60-3ddc-11dd-a6fa-0050c2490048","261"
"296","fe0acd60-3ddc-11dd-a6fa-0050c2490048","262"
"297","fe0acd60-3ddc-11dd-a6fa-0050c2490048","265"
