FlowUUID,FlowPropertyUUID,MeanValue,StDev
"876ac59e-0c27-496e-99e6-e0852350bcd6","f33b22c4-e0e7-4fa6-ae2b-246ecb0a16eb","1.085820e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","085af809-5dc6-4920-aaa1-4ac493ae4af8","4.073080e-04","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","aaa95528-e05d-4eb4-85ff-a5445b580dcc","1.180000e-02","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","d5920cb8-e573-4e56-ab20-0b7c27ecab34","2.185615e-02","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","baae2a37-d25a-4942-8db8-ff33c2364a2a","1.085720e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","bc8f0d54-258b-4589-b182-05e9b8a0c945","9.900000e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","699b6a73-e8d5-4755-8d1d-b70de4b9efdd","8.424150e-04","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","71fc82ec-9eb9-424a-bc45-053a844c8af9","5.275410e-07","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","607a33e0-28ed-42f8-ac8c-66f0c9700e56","1.385900e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","61ec59a5-3816-4e5a-88c7-acf8a8b33d41","4.935060e-07","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","e1b01126-0456-41b5-a29a-d6bd5095b64b","7.957930e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","b7be6dba-97f0-42f6-b173-e2c6b042fbe7","3.506639e-03","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","b8a29b5f-1e7e-4f15-881f-e802e42551eb","3.152170e-05","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","11f31f00-f6fa-4ef0-a9e3-5bd37199dd20","2.269870e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","282882cf-a5e5-4170-82dd-8e84da2724d2","1.723880e-06","0"
"876ac59e-0c27-496e-99e6-e0852350bcd6","7cc6f031-f747-49e0-9600-ce2a2fe5657e","5.000000e-07","0"
